"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"766","NOL4L",505.737327750519,-0.367938591151795,0.147900691679124,0.00159865546639869,0.00763554662874173,"ENSG00000197183"
"767","SNRNP40",232.542165590365,-0.367497378164261,0.0914231397626105,1.1271214536863e-05,9.06632174786915e-05,"ENSG00000060688"
"768","KCTD5",500.181429707018,-0.367300155752847,0.0574817769574131,4.84366980133383e-11,1.00164170685673e-09,"ENSG00000167977"
"769","POFUT2",252.738855133419,-0.366234146529542,0.0679900388165196,1.86602127920307e-08,2.5127783927279e-07,"ENSG00000186866"
"770","CERK",1552.19552544331,-0.366224191786985,0.088283432660828,6.7248771239351e-06,5.66596356532255e-05,"ENSG00000100422"
"771","SRCAP",84.3154972967856,-0.36593215450299,0.0891608040114813,8.05119616878177e-06,6.6450626702308e-05,"ENSG00000080603"
"772","COIL",151.581945585343,-0.365906016658199,0.0633836152756132,2.13495837884516e-09,3.40798321203398e-08,"ENSG00000121058"
"773","ZNF782",77.3411974036825,-0.365748629173962,0.0880842281441132,6.61951657316548e-06,5.58667649751653e-05,"ENSG00000196597"
"774","TOLLIP",1603.85320121273,-0.365743687745043,0.0671941784273333,1.37281796089671e-08,1.88691398553178e-07,"ENSG00000078902"
"775","GOPC",79.8735451125725,-0.365367359496118,0.0865426507485614,4.96569140833583e-06,4.28762343339984e-05,"ENSG00000047932"
"776","BTBD10",423.507750678914,-0.364777296951221,0.0852693517277473,3.92413835259007e-06,3.45055857875612e-05,"ENSG00000148925"
"777","SLC46A2",131.763731923647,-0.364727597027196,0.14510000930292,0.00151004484205565,0.0072679959462309,"ENSG00000119457"
"778","SLC39A13",225.783107744383,-0.364645856251805,0.102319049026509,6.20215992614017e-05,0.000426665471883183,"ENSG00000165915"
"779","AFG3L1P",82.6511840010771,-0.363497087089242,0.0943261729589815,2.15767963741111e-05,0.00016316213237549,"ENSG00000223959"
"780","FAM217B",68.9797256230997,-0.363440153406977,0.144701202810418,0.00152427024748006,0.00732960612576532,"ENSG00000196227"
"781","SPRYD3",405.015624463228,-0.363380678440084,0.0719713197549485,1.09418850214568e-07,1.28651557829426e-06,"ENSG00000167778"
"782","ZNF92",88.6494008183294,-0.361028968026517,0.0958796562721205,3.0129891981421e-05,0.000220702263228807,"ENSG00000146757"
"783","DHFR2",66.4288418206736,-0.360410791512739,0.0949408016266807,2.68920854499532e-05,0.000199183423404693,"ENSG00000178700"
"784","GPATCH3",329.214654085088,-0.359724334653419,0.0775231178483059,7.92020321557177e-07,7.95344564976109e-06,"ENSG00000198746"
"785","SLX4",156.141229373373,-0.359394754734948,0.122173348034092,0.000465148551800524,0.00257975649645487,"ENSG00000188827"
"786","LRR1",64.675909745308,-0.359355448562612,0.112722739961173,0.000219027073559184,0.00132200089925308,"ENSG00000165501"
"787","PPIL1",64.7328750374307,-0.358781251691731,0.104020738198235,9.30304383789028e-05,0.000613130781577291,"ENSG00000137168"
"788","GFOD2",103.709390664848,-0.358527762556328,0.123772658118061,0.000532051256519316,0.00290847148090899,"ENSG00000141098"
"789","GSKIP",136.78156314143,-0.357890629924695,0.082624857447822,3.13939319840943e-06,2.80975008484004e-05,"ENSG00000100744"
"790","NACC2",2086.75951860516,-0.357667025632485,0.0939532119145999,2.59138887094758e-05,0.000192492481619557,"ENSG00000148411"
"791","PRDM11",106.107166582449,-0.357530544471709,0.0994094688266317,5.58420607602543e-05,0.000388308969990873,"ENSG00000019485"
"792","SURF2",67.2773427437412,-0.357409131775701,0.0843521877265402,4.68883520090884e-06,4.0673470950211e-05,"ENSG00000148291"
"793","UBTF",50.0139500971451,-0.356906530770097,0.0993790834243294,5.69225811662082e-05,0.00039515486844666,"ENSG00000108312"
"794","INIP",317.770694398111,-0.356794871883142,0.0568291987414837,9.95807577336302e-11,1.98159929509398e-09,"ENSG00000148153"
"795","FLVCR2",493.008557198596,-0.356443594734458,0.122483111408871,0.000514053165406207,0.00282208055800377,"ENSG00000119686"
"796","KANSL1",1910.53717170185,-0.356270577808454,0.0658265335521259,1.63217750018259e-08,2.21528260183094e-07,"ENSG00000120071"
"797","CCNQ",107.912696403897,-0.356205502949914,0.120357884023382,0.000444456126367372,0.00247433150869455,"ENSG00000262919"
"798","RNF41",1384.90200827578,-0.355885593965221,0.0700989313676973,9.52755620757218e-08,1.13186487602197e-06,"ENSG00000181852"
"799","PGGT1B",547.44290683732,-0.355804505720073,0.0594317135507326,6.046850041159e-10,1.06202577314714e-08,"ENSG00000164219"
"800","KDM2B",479.269071220589,-0.355575462390875,0.0846990696099547,5.52436787880487e-06,4.74215241861865e-05,"ENSG00000089094"
"801","PTAR1",700.387458623571,-0.355520893230437,0.0707449435015915,1.23636236046419e-07,1.43725378129441e-06,"ENSG00000188647"
"802","EMSY",349.101527366716,-0.355342218955364,0.0591184872149193,5.23362026027885e-10,9.26738128016331e-09,"ENSG00000158636"
"803","POLM",220.6747414324,-0.354994499238675,0.0767657653265777,8.53599771003085e-07,8.53019372907211e-06,"ENSG00000122678"
"804","SLBP",236.864551132533,-0.354750898806018,0.0734796963492509,3.27118233121239e-07,3.52766497101815e-06,"ENSG00000163950"
"805","BRPF3",1133.6888851599,-0.35472217830733,0.104858562553153,0.000117079589757417,0.000755181704968216,"ENSG00000096070"
"806","ARID2",816.332356934159,-0.354635158941262,0.0711594902913564,1.52383850910062e-07,1.74110920218025e-06,"ENSG00000189079"
"807","MMP17",174.049783984179,-0.354532295117389,0.134186753293953,0.00110419715577357,0.00552662628975845,"ENSG00000198598"
"808","ZW10",100.287860009667,-0.353932276302741,0.0976894331377369,5.10359794707312e-05,0.000358156996449442,"ENSG00000086827"
"809","SPAST",621.238571655271,-0.353802146596166,0.0636446052522,7.26842142734509e-09,1.04950904764247e-07,"ENSG00000021574"
"810","BFAR",1210.54985105507,-0.353740939262285,0.0547165917705819,3.00178115276192e-11,6.42044168391157e-10,"ENSG00000103429"
"811","CBFA2T2",247.675240597829,-0.353238999327347,0.0804887793999602,2.45632297372754e-06,2.25048707573547e-05,"ENSG00000078699"
"812","CBLB",189.323928539255,-0.352830059217754,0.103454577103288,0.000106991752042095,0.000695564704587091,"ENSG00000114423"
"813","ERCC6",432.938748430211,-0.352719191175536,0.122410360767113,0.00056405404548615,0.00306145503559035,"ENSG00000225830"
"814","NAXD",166.460992016798,-0.352464910679457,0.080554109576868,2.60173090014764e-06,2.37292619687225e-05,"ENSG00000213995"
"815","TSSC4",362.422011616774,-0.352457334188499,0.0617253720747661,3.08681213010625e-09,4.72576238013885e-08,"ENSG00000184281"
